replies,score
"[{""comment_1"":""Funny point. Marketing team probably had no migraine sufferers on it lol.Similarly, in drug discovery they often take into great consideration the route of administration. Obviously pills are best, then take home injectables and finally going to the clinic for an iv.However, for migraines, if it takes stabbing yourself straight in to your head every time most of us would still gladly do it. Probably start feeling pleasure from it.""}]",19
"[{""comment_1"":""Sorry to hear you are experiencing side effects. I’m taking Emgality, and luckily things have gone well so far. I do feel nervous that I’m essentially a guinea pig for these new drugs. I just hope there are no long term effects."",""comment_2"":""I tried Aimovig and didnt see any improvement, so now Im trying Ajovy. I seem to be having fewer migraines, but Ive had a persistent tension headache for 2 days now. Im wondering if this is like the pressure headache you described."",""comment_3"":""Thanks for sharing. I think the more info out there about peoples experiences on these drugs, the better for everyone."",""comment_4"":""Ajovy here: yup, neck pain; vaguely flu-like feelings; and like a mini migraine or tension headache daily."",""comment_5"":""This is great info!  Thank you for sharing. I just started Aimovig this month. I have had neck pain and feeling tired. My neuro said not a side effect when I asked him. My migraines are gone and a lot of facial pain is gone. But I’m still taking things for neck pain or using voltaren gel. and can’t seem to cut through the exhaustion. I wouldn’t go back yet but I’m on my first month of 140."",""comment_6"":""8 months of Aimovig and I feel like I have gotten my life back.  The headaches were so often and so severe, I was losing the will to go on.  I cant describe how wonderful it is to wake up most mornings without a headache. It has been a genuine life saver for me.""}]",17
"[{""comment_1"":""Im in a very active CGRP group on fb and was *just* reading about this as a side effect.  You are definitely not the only one!"",""comment_2"":""Thats a very interesting side effect... Do you think you are having anxiety while sleeping and thats causing it?"",""comment_3"":""i have been searching high and low for someone who shares this side effect. it got bad enough for me that i stopped the med and i plan to choose another cgrp at my next appointment."",""comment_4"":""My neurologist told me he’s seeing lots of bad side effects from Aimovig and has stopped prescribing it. I don’t think the drug company is disclosing what’s going on. I felt like I had the flu and couldn’t move for two weeks. I tried to report it to Amgen and they didn’t call me back!  Wtf"",""comment_5"":""Im on ajovy... for like two or three days after I do my injection (when I notice the side effects most anyway), I get crazy dreams. Not always nightmares, but super vivid. Im not big on remembering my dreams... so its definitely odd. This past month, I dreamt I was on a flight with my parents. They hate flying. We were flying past roller coasters and water slides that were as high as the plane (and it was high!). And then a fireball erupted through the plane. I assume I died. I woke up drenched in sweat. it was crazy."",""comment_6"":""Yeah, I had weird (entertaining) dreams after my first shot."",""comment_7"":""Im on Emgality and have been having extremely vivid dreams every night since my initial loading dose on April 1st. Not nightmares, so its not really a problem, but it is strange."",""comment_8"":""Omg. Crazy reading this. YES. I’m on Emgality and literally, the vividness of the dreams and the craziness. CRAZY!!!!!""}]",16
"[{""comment_1"":""7 months on Aimovig here, before switching. I switched due to side effects which were manageable but super annoying. I was having some good results from Aimovig (not a magic bullet, but some improvement), but we wanted to see if I could get those same good results with fewer side effects.I did four months of Ajovy. No dice. For me, it was not helpful at all, although I will say that the side effects are *much* better. I have a sort of constant visual distortion, like everything is shimmering , but it’s had no negative impact on my day to day. It’s just weird.For my next shot I will be switching to Emgality...it’s already in my fridge. I’ll update after a dose or two if anyone is interested. If that is also ineffective for me after a few months, I will go back to Aimovig and deal with the side effects."",""comment_2"":""I was a super-responder to Aimovig. I switched to Emgality a week ago and I’ve had a weird almost migraine headache off and on but not a full migraine if that makes sense. Definitely looming forward to seeing how it goes. I love Aimovig but the constipation is insane. I’d been taking it for 7 months and it made me go from 22-25 migraine days a month to maybe 1. Hoping Emgality is good too"",""comment_3"":""I just switched Monday to Emgality after 5 months on Aimovig. Will let you know!"",""comment_4"":""I was on Aimovig for two months. Little to know migraine improvement and I had super stiffpainful neck muscles. I then switched to Ajovy and I am now in my sixth month. The first month on Ajovy, I did not notice any improvement and then within days of my second injection of Ajovy, my migraines just STOPPED. I went from 20 years chronic and the last 3 years of near daily migraines, down to maybe 1 per month.\u0026#x200B;I have had some hair loss with Ajovy, mostly in the 4-5th month, its slowed down now. I also have some increased joint pain but its SO worth it for the migraine relief."",""comment_5"":""I was on aimovig for 6 months, switched to ajovy and about to take my fourth this week. aimovig worked, but it was so subtle I thought I could just do botox instead. With ajovy it was the opposite, I actually stopped doing botox (though TBH I started back with botox after four months because once it *truly* wore off I realized it was actually helping some, and frankly...every little percentage point of help is worth it). Side effects: zero with aimovig for me, and definite GI stuff with ajovy. Nothing major, but noticeable."",""comment_6"":""I just took my first dose of Emgality this afternoon after taking Aimovig since December. The Aimovig helped me at first tremendously, but in month four I was getting serious insomnia and my migraines returned badly. I also had quite serious constipation taking stool softeners, probiotics, magnesium citrate and eating LOTS of beans, veggies and whole grains (plus lots of water). I really hope The Emgality kicks on soon and works!Good luck to you!"",""comment_7"":""I had amazing success with Aimovig for 4 months! Little to none constipation, a bit of fatigue a few days after injection. Went from 15-20 migraines a month to 1-3 manageable. I also have Occipital Neuralgia, BUT with Aimovig, I had quit taking all of the pain pills and muscle relaxers associated with it and was down to just taking one maintenance med. I was considering titrating off it, things were going so well. On the 5th month, something went wrong. I went from an insomniaclight sleeper my entire life to anytime I would sit down, I would fall asleep. To the point that my husband accused me of taking other drugs. My kids would lift my arms and legs up and I wouldn’t wake. My husband would clamp my nose shut. I wouldn’t stir a bit. Waited 6 weeks (6 weeks of hell), went in for my botox appt with my neuro this morning and she loaded me up with a Torodol shot (to hopefully break my pain cycle - it didn’t) and Emgality!Here’s to hoping I can get some peace back!""}]",19
"[{""comment_1"":""Amgen will give you Aimovig free for a year if you have commercial insurance that doesnt yet cover it. Call the Aimovig Ally hotline. (1-833-AIMOVIG (1-833-246-6844))You prescribing neurologist should have been aware of the available assistance for getting Aimovig from Amgen."",""comment_2"":""Happy to hear it works for you. Hopefully you can get it covered under your insurance plan soon...."",""comment_3"":""Aimovig has a co-pay plan, contact the manufacturer (Novartis). Do a google search for “Aimovig co-pay”. May be as low as $5-25month.""}]",29
"[{""comment_1"":""Im starting emgality within a week too. I took five doses of Aimovig and had inconsistent results. Im scared about injecting emgality people say it hurts more and I dont have much thigh fat to begin with 😭""}]",19
"[{""comment_1"":""I hope Emgality works for you! My wife is considering trying the free year trial of it, shes never medicated for her migraines in the past but theyve been getting worse lately.I work for Lilly and can say its a great feeling seeing this drug have a positive impact on people. I actually helped make the last clinical trial batch of the drug."",""comment_2"":""Thank you so much for sharing! I haven’t even heard of Emgality until you posted this.  I’ve done 4 rounds of Aimovig with no improvement, and have intractable migraine.  I’ll be calling and asking my dr."",""comment_3"":""Let us know how it goes, good luck! I definitely had withdrawal when I stopped Aimovig a couple of months ago: my migraine symptoms returend, so I went up to 140mg and have been pretty happy with it. Unfortunately it looks like that didnt help you. :("",""comment_4"":""Also switching to Emgality and just took my first dose today. 3 months of Aimovig didn’t do much for my migraines, maybe a mild reduction in frequency and pain level. I dealt with nausea, reflux, muscle pain and cramping, appetite loss, and weird blood sugar crashes. I now seem to be lactose intolerant as well. I’m really hoping this one helps, although already nervous reading your comment about the recommended 60 day wait. My neuro said I could do it today (and she actually injected me in the office) instead of my 4th dose of Aimovig tomorrow. In all irony, as I was waiting for the Emgality autoinjectors to come up to room temp, I got a call from McKesson to schedule my second Aimovig delivery...  🤷🏻‍♀️"",""comment_5"":""I started Emgality (Loading dose) in November and had zero migraines for almost a month. Considering three to four or more a week for 50 years this seemed to be a miracle. Took the second dose in December and still working amazingly well, only one migraine, although it was a true head banger of the nth degree. But still only one. Took dose three in January and still doing well, with one head banger and one milder one.That said, I am a disabled vet and the VA has now approved Aimovig. If I switch the costs would be zero, versus about $210 per month on the Emgality as I dont have any commercial insurance for a free trial. I received my first Aimovig today and it is already useless as they failed to ship it with a cold pack. So it appears I will stay on teh Emgality for at least another month. I wonder if anyone has switched from Emgality to Aimovig and how long the waiting period is between the last injection of another formulation? Finally, has anyone experienced stiff neck and headache in back of head with Emgality? It started soon after the second dose and continues, but it definitely is not a migraine.Thank you, be safe and be well. \u0026#x200B;""}]",16
"[{""comment_1"":""This is great. thank you"",""comment_2"":""Awesome, thank you!!"",""comment_3"":""I just started it, you can add me. All I’ve noticed so far is extreme fatigue and chest pains. Went to the ER for the chest pains and they said it was probably a side effect of the medicine since everything else was clear. I’ve also got a migraine right now (day 3 since injection), so yippee. Super disappointed to see so many people reporting hair loss. My hair is falling out from something else (unrelated) so WTF, I hope Aimovig doesn’t make it worse. \u0026nbsp;Another good column to add might be 70mg versus 140mg..? I’m on 70."",""comment_4"":""I took my first Aimovig injection on October 8th. For two days following I was dizzy but then it tapered off. Nausea, loss of appetite, and constipation for me. No hair loss. Occasional racing heart and shortness of breath. I haven’t had a migraine since the injection and am feeling hopeful. I have migraine with brain stem aura. You can add me as well!"",""comment_5"":""Last month was my first month with Aimovig - 70mg.  I have had daily headaches for years and I had 15 headache free days during this past month.    I hope it wasnt a fluke and will be taking my second injection tomorrow.  Feel free to add me if you want."",""comment_6"":""You beautiful person! Thank you for this!"",""comment_7"":""This is so cool. I added myself.  For me the biggest side effects you have listed are insomnia and constipation, but I also get this amped feeling for a few days after injection (so maybe that is heartracing). It is almost euphoric really, like I feel ALIVE! It is kind of crazy. It can also be more of an anxious amped feeling at times. Has anyone else heard of this? Im on month 7 or something so I can confirm that it is consistently a side effect with the shots."",""comment_8"":""I added a line and made a row for percent who responded in the affirmative. Please delete if unwanted.""}]",17
"[{""comment_1"":""Ive been wanting to know the answer to that! Can you combine the receptor and ligand based ones? Or the infusion one being developed by Alder Biopharmaceuticals, that they state is immediately bioavailable - will that become a mainstay of ERemergency stop measure for intractible migraine? FThree years from now, after we have more experience with these medications, what will the standard migraine treatment look like? What will the long term effects of these medications be? How will the still in clinical trials small molecule abortive cgrp medication compare to triptans? For people who dont respond to the cgrp medications, how long will it take for researchers to figure out why they dont? And how long after that will it take to develop additional medications to help them? So many questions, and such an exciting time to be alive :)"",""comment_2"":""Just asking - I wonder if they would still send it for free if I’m doing Botox. My ins co said they would cover one or the other only."",""comment_3"":""Wow, I never thought of combining the two. I just received my second dose of Aimovig and am about to start the process to get ongoing bridge coverage using the Ally Access Card. I could get start the process for a free trial with Emgality in parallel. Im going to guess that they arent as backed up as Aimovig has been.""}]",17
"[{""comment_1"":""Thank you! I was just worrying about how to make the timing work, I had no idea delivery to a pharmacy was a possibility. Phew!"",""comment_2"":""Note it seems McCarren Specialty Pharmacy (or whatever it is called) may now be refusing to do this. They did it for me again for my second dose, but they were weird about it and said they dont deliver to pharmacies. :(  I know it was the only serious option for me, as I dont want to stay home from work, but there is no way Im getting a medicine box fed-exed to myself at work, that is a serious privacy violation for me!"",""comment_3"":""Why not just have it delivered to your work if thats where you are going to be?"",""comment_4"":""I had mine sent to my doctors office. I actually paid for the first one and had it filled at CVS because I didnt want to wait, but they called and said they have one in their refrigerator with my name on it and will give it to me whenever I am ready.""}]",20
